2233|a.k. shukla      |g.m        |sales      |12/12/52| 90000
5678|sumit chakrobarty|d.g.m      |marketing  |04/19/43| 85000
6213|karuna ganguly   |g.m.       |accounts   |06/05/62|105000
3212|shyam saksena    |d.g.m.     |accounts   |12/12/55| 85000
2345|j.b. saksena      |g.m.       |marketing  |03/12/45|110000
0110|v.k agarwal      |g.m.       |marketing  |12/31/40| 95000
2233|charles harris   |g.m        |sales      |12/12/52| 90000
5678|robert dylan     |d.g.m      |marketing  |04/19/43| 85000
6213|michael lennon   |g.m.       |accounts   |06/05/62|105000
3212|bi11 wilcocks    |d.g.m.     |accounts   |12/12/55| 85000
2345|james wilcox     |g.m.       |marketing  |03/12/45|110000
0110|julie truman     |g.m.       |marketing  |12/31/40| 95000
